Site ID,Program Code,Program Name,Address 1,Address 2,Zipcode,Program Type,Enrollment,Daily Start Time,Length of Pre-K Day,Early Drop-Off Available,Late Pick-Up Available,Meals,Playspace,Dual Language,Collaborative Teachers - Survey Percent Positive,Supportive Environment - Survey Percent Positive,Effective School Leadership - Survey Percent Positive,Strong Family-Community Ties - Survey Percent Positive,Trust - Survey Percent Positive,Survey - Number of Guardian Responses,Survey - Guardian Response Rate,CLASS Most Recent Assessment Year,CLASS Emotional Support Score,CLASS Emotional Support Rating,CLASS Classroom Organization Score,CLASS Classroom Organization Rating,CLASS Instructional Support Score,CLASS Instructional Support Rating,ECERS Most Recent Assessment Year,ECERS Observation Average Score,ECERS Observation Average Rating,ECERS Language Reasoning Score,ECERS Language Reasoning Rating,ECERS Interaction Score,ECERS Interaction Rating,ECERS Activities Score,ECERS Activities Rating,ECERS Personal Care Routines Score,ECERS Personal Care Routines Rating,ECERS Space and Furnishings Score,ECERS Space and Furnishings Rating,ECERS Program Structure Score,ECERS Program Structure Rating,Total.ECERS,Quality Review - Date of Review,Quality Review - How well do teachers work with each other?
01M184,01M184,P.S. 184m Shuang Wen,327 CHERRY STREET,"New York, NY 10002",10002,District School,35,8:20 AM,Full day,Yes,No,Breakfast / Lunch,Indoor/Outdoor (onsite) playspace,,73,100%,83%,90%,94%,16,67,2015-16 School Year,6.8,4,6.6,4,2,2,2017-18 School Year,3.4,3,5.3,4,5,4,3.1,2,1.8,2,3,2,3.8,3,45.4,Oct-16,3
01M188,01M188,P.S. 188 The Island School,442 EAST HOUSTON STREET,"New York, NY 10002",10002,District School,19,8:30 AM,Full day,No,No,Breakfast / Lunch,Indoor/Outdoor (onsite) playspace,Dual Language (Spanish),100,100%,100%,100%,100%,6,100,2017-18 School Year,6.8,4,6.8,4,1.9,1,2016-17 School Year,3.4,3,3.5,3,2.8,1,4.5,3,2,2,4.3,3,1.7,1,38.2,21-Jan-16,3
01M315,01M315,The East Village Community School,610 East 12 Street,"New York, NY 10009",10009,District School,36,8:30 AM,Full day,Yes,No,Breakfast / Lunch,Indoor/Outdoor (onsite) playspace,,89,97%,97%,99%,98%,16,67,2016-17 School Year,6.6,4,5.7,3,3.3,3,2017-18 School Year,3.5,3,5,4,6.2,4,3.2,2,1.8,2,3,2,2.7,1,43.4,5-May-16,3
01M361,01M361,The Children's Workshop School,610 East 12 Street,"New York, NY 10009",10009,District School,36,8:40 AM,Full day,Contact Program,Contact Program,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,92,96%,90%,97%,92%,13,54,2016-17 School Year,6.4,4,5.8,3,3,2,2017-18 School Year,4.2,3,4.5,3,5.8,4,4.7,3,2.3,3,3.5,3,4.5,3,51.5,10-May-16,3
01M363,01M363,Neighborhood School,121 East 3 Street,"New York, NY 10009",10009,District School,18,8:25 AM,Full day,Yes,Yes,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,87,95%,100%,98%,100%,7,100,2017-18 School Year,6.4,4,5.5,3,2.5,2,2015-16 School Year,3.3,2,4.8,3,4.2,3,4.2,3,1.5,2,2.3,1,3.3,2,39.6,Feb-18,3
01M364,01M364,Earth School,600 East 6 Street,"New York, NY 10009",10009,District School,35,8:30 AM,Full day,Yes,Yes,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,93,97%,98%,95%,97%,14,78,2017-18 School Year,6.8,4,5.7,3,3.1,2,2015-16 School Year,2.7,1,3,2,2.8,1,3.1,2,1.5,2,2.4,1,3.5,3,31,,
02M001,02M001,P.S. 001 Alfred E. Smith,8 HENRY STREET,"New York, NY 10038",10038,District School,24,8:15 AM,Full day,Contact Program,Contact Program,Breakfast/Lunch/Snack(s),Indoor/Outdoor (onsite) playspace,Dual Language (Chinese),86,95%,100%,92%,97%,10,83,2016-17 School Year,6.9,4,6.9,4,3.5,3,2017-18 School Year,4.8,3,5.5,4,5.4,4,5.8,4,3.2,3,4,3,4.5,3,57.2,13-May-16,3
02M002,02M002,P.S. 002 Meyer London,122 HENRY STREET,"New York, NY 10002",10002,District School,22,8:15 AM,Full day,No,No,Breakfast / Lunch,Outdoor (onsite) playspace,,91,100%,100%,99%,100%,8,89,2017-18 School Year,6.9,4,6.6,4,3.9,3,2015-16 School Year,3.4,3,4.8,3,4.4,3,2.7,1,3,3,3.3,2,4,3,43.6,Apr-17,3
02M003,02M003,P.S. 003 Charrette School,490 HUDSON STREET,"New York, NY 10014",10014,District School,54,8:20 AM,Full day,No,Yes,Breakfast / Lunch,Indoor/Outdoor (onsite) playspace,,89,100%,96%,92%,98%,15,52,2017-18 School Year,6.7,4,6.5,4,3.8,3,2015-16 School Year,3.8,3,4.5,3,6,4,4.2,3,2.7,3,2.5,1,3.7,3,47.4,Dec-17,3
02M006,02M006,P.S. 6 Lillie D. Blake,45 East 81 Street,"New York, NY 10028",10028,District School,78,8:15 AM,Full day,Contact Program,Contact Program,Breakfast/Lunch,Outdoor (onsite) playspace,,87,97%,87%,88%,90%,39,83,2017-18 School Year,7,4,7,4,3.5,3,2016-17 School Year,4.9,3,7,4,5.8,4,5.2,4,2.7,3,5,4,4.3,3,59.9,17-May-16,4
02M011,02M011,P.S. 011 William T. Harris,320 West 21 Street,"New York, NY 10011",10011,District School,18,N/A,Full day,Contact Program,Contact Program,Breakfast/Lunch/Snack(s),Indoor/Outdoor (onsite) playspace,,93,,,,,1,100,2017-18 School Year,6.8,4,7,4,1.9,1,2016-17 School Year,4.1,3,4.5,3,6,4,4.5,3,2.2,2,3.4,3,4.8,3,50.5,,
02M033,02M033,P.S. 033 Chelsea Prep,281 Ninth Avenue,"New York, NY 10001",10001,District School,36,8:20 AM,Full day,Contact Program,Yes,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,66,87%,77%,80%,77%,12,52,2017-18 School Year,7,4,6.9,4,2.7,2,2016-17 School Year,4.8,3,6.3,4,6.4,4,5.5,4,2.8,3,3.6,3,5.3,4,59.7,Oct-17,4
02M040,02M040,P.S. 040 Augustus Saint-Gaudens,319 East 19 Street,"New York, NY 10003",10003,District School,36,8:20 AM,Full day,No,No,Breakfast / Lunch,Indoor/Outdoor (onsite) playspace,,94,80%,100%,96%,97%,6,60,2016-17 School Year,6.8,4,6.9,4,3.6,3,2017-18 School Year,4.7,3,6.3,4,5.8,4,4.9,3,3,3,5,4,3.5,3,57.2,30-Mar-16,4
02M041,02M041,P.S. 041 Greenwich Village,116 West 11 Street,"New York, NY 10011",10011,District School,36,8:40 AM,Full day,Yes,Yes,Contact program directly for details,Please contact site for more information,,95,,,,,2,22,2016-17 School Year,6.8,4,6.4,4,2.4,2,2015-16 School Year,3.6,3,5.5,4,4.6,3,3.3,2,2.2,2,3.6,3,2.7,1,43.5,19-May-16,4
02M042,02M042,P.S. 042 Benjamin Altman,71 HESTER STREET,"New York, NY 10002",10002,District School,42,8:20 AM,Full day,Contact Program,Yes,Breakfast/Lunch/Snack(s),Indoor/Outdoor (onsite) playspace,,94,100%,99%,96%,100%,30,100,2015-16 School Year,6.8,4,6.6,4,2.4,2,2017-18 School Year,4.9,3,5.5,4,6.6,4,5.5,4,3,3,4.9,3,2.7,1,55.1,,
02M051,02M051,P.S. 051 Elias Howe,525 WEST 44 STREET,"New York, NY 10036",10036,District School,68,8:15 AM,Full day,Yes,No,Breakfast / Lunch,Indoor/Outdoor (onsite) playspace,,93,99%,99%,96%,97%,41,75,2017-18 School Year,6.4,4,5.9,3,1.9,1,2016-17 School Year,3.1,2,3,2,3.4,3,2.7,1,3,3,3.4,3,3,2,37.6,,
02M059,02M059,P.S. 059 Beekman Hill International,231-249 East 56 Street,"Manhattan, NY 10022",10022,District School,20,8:45 AM,Full day,Yes,Contact Program,Breakfast/Lunch/Snack(s),Please contact site for more information,,86,,,,,4,100,N/A,,,,,,,2017-18 School Year,4.6,3,5.3,4,7,4,4,3,3.7,3,4.3,3,4,3,55.9,,
02M089,02M089,P.S. 89,201 WARREN STREET,"New York, NY 10282",10282,District School,36,8:40 AM,Full day,Contact Program,Contact Program,Breakfast/Lunch,Outdoor (onsite) playspace,,91,100%,100%,98%,100%,8,80,2016-17 School Year,6.7,4,6.3,4,3,2,2015-16 School Year,3.9,3,6.3,4,4.8,3,3.7,3,1.8,2,3.5,3,4.8,3,49.8,May-17,4
02M111,02M111,P.S. 111 Adolph S. Ochs,440 West 53 Street,"New York, NY 10019",10019,District School,46,8:20 AM,Full day,No,No,Breakfast / Lunch,Indoor/Outdoor (onsite) playspace,,78,97%,99%,93%,93%,19,68,2016-17 School Year,6.5,4,6.5,4,3.2,2,2015-16 School Year,3.3,2,3.3,2,4.8,3,2.6,1,2,2,4.1,3,3.3,2,38.4,Nov-16,3
02M116,02M116,P.S. 116 Mary Lindley Murray,210 East 33 Street,"New York, NY 10016",10016,District School,47,8:15 AM,Full day,Contact Program,Contact Program,Breakfast/Lunch,Outdoor (onsite) playspace,,95,100%,88%,90%,90%,16,59,2015-16 School Year,6.4,4,6.4,4,1.6,1,2017-18 School Year,4.1,3,4.5,3,5.2,4,4.3,3,2.7,3,3.5,3,5.5,4,52.8,,
02M124,02M124,P.S. 124 Yung Wing,40 DIVISION STREET,"New York, NY 10002",10002,District School,56,8:10 AM,Full day,Yes,Contact Program,N/A,Indoor/Outdoor (onsite) playspace,,78,100%,94%,91%,95%,38,100,2016-17 School Year,6.7,4,6.4,4,3,2,2015-16 School Year,4.9,3,6.5,4,6,4,5,4,3.6,3,4,3,5.5,4,60.5,Jan-17,4
02M126,02M126,P.S. 126 Jacob August Riis,80 CATHERINE STREET,"New York, NY 10038",10038,District School,28,8:20 AM,Full day,No,No,Breakfast / Lunch,Indoor/Outdoor (offsite) playspace,,89,,,,,0,0,2017-18 School Year,6.6,4,6.6,4,4.4,3,2017-18 School Year,4.3,3,5.5,4,6,4,4.2,3,2.8,3,4.4,3,2.7,1,50.9,,
02M130,02M130,P.S. 130 Hernando De Soto,143 BAXTER STREET,"New York, NY 10013",10013,District School,36,8:15 AM,Full day,No,No,Breakfast / Lunch,Indoor/Outdoor (onsite) playspace,,94,95%,96%,90%,98%,19,95,2016-17 School Year,6.6,4,6.3,4,3.1,2,2015-16 School Year,4.5,3,6.8,4,5.6,4,4.4,3,3,3,3.9,3,4.5,3,55.7,,
02M150,02M150,P.S. 150,334 GREENWICH STREET,"New York, NY 10013",10013,District School,18,8:40 AM,Full day,Contact Program,Contact Program,Breakfast/Lunch,Outdoor (onsite) playspace,,100,92%,100%,92%,100%,6,75,2016-17 School Year,6.9,4,6.8,4,2.9,2,2015-16 School Year,4.1,3,5.8,4,6.4,4,4.4,3,2.2,2,3,2,3.7,3,50.6,,
02M151,02M151,Yorkville Community School,421 East 88 Street,"New York, NY 10128",10128,District School,40,8:40 AM,Full day,Contact Program,Yes,Breakfast/Lunch/Snack(s),Please contact site for more information,,94,100%,97%,98%,100%,20,71,2017-18 School Year,7,4,7,4,3.7,3,2016-17 School Year,4.6,3,6.3,4,6,4,5.3,4,2.5,3,4.3,3,2.3,1,53.3,24-Nov-15,4
02M158,02M158,P.S. 158 Bayard Taylor,1458 YORK AVENUE,"New York, NY 10075",10075,District School,72,8:30 AM,Full day,No,No,Breakfast / Lunch,Indoor/Outdoor (onsite) playspace,,78,91%,94%,92%,90%,22,61,2015-16 School Year,6.9,4,6.5,4,2.2,2,2017-18 School Year,4.2,3,5.5,4,5.8,4,4.2,3,2.3,3,3.4,3,5,4,54.4,,
02M183,02M183,P.S. 183 Robert L. Stevenson,419 East 66 Street,"New York, NY 10065",10065,District School,40,8:30 AM,Full day,Contact Program,Yes,Contact program directly for details,Please contact site for more information,,88,100%,92%,99%,96%,14,74,2017-18 School Year,7,4,7,4,2.5,2,2016-17 School Year,4.4,3,5.5,4,5.8,4,4.2,3,2.7,3,4,3,5.5,4,56.1,,
02M198,02M198,P.S. 198 Isador E. Ida Straus,1700 Third Avenue,"New York, NY 10128",10128,District School,49,8:00 AM,Full day,No,No,Breakfast / Lunch,Indoor/Outdoor (onsite) playspace,,83,97%,99%,96%,99%,32,84,2016-17 School Year,6.6,4,6.7,4,2.4,2,2017-18 School Year,3.9,3,4.8,3,5.4,4,3.7,3,2.7,3,3.8,3,3.5,3,49.8,Oct-16,3
02M212,02M212,P.S. 212 Midtown West,328 West 48 Street,"New York, NY 10036",10036,District School,36,8:40 AM,Full day,No,No,Breakfast / Lunch / Snack(s),Indoor/Outdoor (onsite) playspace,,96,87%,94%,93%,92%,21,100,2016-17 School Year,6.9,4,7,4,4.6,3,2017-18 School Year,3.1,2,4.3,3,3.8,3,3.4,3,1.8,2,2.5,1,3.3,2,38.2,,
02M217,02M217,P.S./I.S. 217 Roosevelt Island,645 MAIN STREET,"New York, NY 10044",10044,District School,36,8:25 AM,Full day,Contact Program,Contact Program,Lunch/Snack(s),Indoor/Outdoor (onsite) playspace,,92,67%,74%,93%,88%,7,47,2017-18 School Year,6.9,4,6.8,4,3.1,2,2016-17 School Year,4.4,3,5.3,4,4.8,3,4.6,3,1.8,2,5,4,5.7,4,54.6,Mar-18,4
02M225,02M225,Ella Baker School,317 East 67 Street,"New York, NY 10065",10065,District School,40,8:30 AM,Full day,Contact Program,Yes,Breakfast/Lunch/Snack(s),Indoor/Outdoor (onsite) playspace,,90,100%,99%,95%,99%,21,64,2015-16 School Year,6.3,4,5.6,3,1,1,2017-18 School Year,3.3,2,4,3,5.4,4,2.9,1,2,2,2.9,1,4,3,40.5,Feb-18,3
02M281,02M281,The River School,425 EAST 35 STREET,"New York, NY 10016",10016,District School,36,8:30 AM,Full day,No,No,Breakfast / Lunch / Snack(s),Indoor/Outdoor (onsite) playspace,,98,100%,100%,98%,100%,24,83,2015-16 School Year,6.8,4,6.8,4,3.3,3,2017-18 School Year,4.5,3,4.8,3,5.4,4,5.5,4,2.3,3,5,4,2.7,1,52.2,Jan-17,3
02M290,02M290,P.S. 290 Manhattan New School,311 East 82 Street,"Manhattan, NY 10028",10028,District School,40,N/A,Full day,Contact Program,Contact Program,Contact program directly for details,Please contact site for more information,,86,100%,98%,92%,99%,15,79,N/A,,,,,,,2017-18 School Year,4.7,3,6.3,4,5.8,4,5.1,4,3,3,3.4,3,5.8,4,59.1,,
02M340,02M340,Sixth Avenue Elementary School,590 Sixth Avenue,"New York, NY 10011",10011,District School,71,8:20 AM,Full day,Contact Program,Yes,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,90,96%,96%,94%,95%,36,62,2015-16 School Year,6.6,4,6.8,4,2.8,2,2017-18 School Year,4.2,3,4.3,3,6.4,4,3.5,3,2.5,3,4.1,3,5.8,4,53.8,Apr-17,3
02M343,02M343,The Peck Slip School,1 Peck Slip,"New York, NY 10038",10038,District School,35,8:15 AM,Full day,Contact Program,Contact Program,Breakfast/Lunch/Snack(s),Please contact site for more information,,95,100%,98%,96%,98%,16,80,2016-17 School Year,6.5,4,5.9,3,2.1,2,2017-18 School Year,4.1,3,5.3,4,3.2,2,4.4,3,2.5,3,4.4,3,5,4,50.9,,
02M397,02M397,Spruce Street School,12 SPRUCE STREET,"New York, NY 10038",10038,District School,18,N/A,Full day,Contact Program,Contact Program,Breakfast/Lunch/Snack(s),Indoor/Outdoor (onsite) playspace,,83,100%,97%,94%,98%,8,100,2017-18 School Year,6.7,4,6.4,4,3.3,3,2015-16 School Year,3.9,3,5.3,4,6.4,4,3.7,3,2.3,3,3,2,3.7,3,50.3,8-Dec-15,4
03M009,03M009,P.S. 009 Sarah Anderson,100 West 84 Street,"New York, NY 10024",10024,District School,18,8:30 AM,Full day,Contact Program,Contact Program,N/A,Outdoor (onsite) playspace,,97,,,,,4,80,2015-16 School Year,6.8,4,6.2,4,2.2,2,2017-18 School Year,4.3,3,4.8,3,6,4,5.2,4,2.5,3,3.3,2,4.5,3,52.6,,
03M076,03M076,P.S. 076 A. Philip Randolph,220 West 121 Street,"New York, NY 10027",10027,District School,36,8:20 AM,Full day,Yes,Yes,Breakfast/Lunch/Snack(s),Indoor/Outdoor (onsite) playspace,,87,88%,87%,94%,87%,17,81,2017-18 School Year,6.9,4,6.6,4,2.5,2,2015-16 School Year,2.4,1,3,2,3,2,2.2,1,1.2,1,3,2,1.7,1,26.5,Jan-18,3
03M084,03M084,P.S. 084 Lillian Weber,32 West 92 Street,"New York, NY 10025",10025,District School,105,8:20 AM,Full day,Contact Program,Contact Program,N/A,Indoor/Outdoor (onsite) playspace,,93,98%,90%,94%,95%,58,65,2017-18 School Year,7,4,6.9,4,3.1,2,2016-17 School Year,5.1,4,6.3,4,5.8,4,6.2,4,3,3,3.6,3,6.8,4,62.8,,
03M087,03M087,P.S. 087 William Sherman,160 West 78 Street,"New York, NY 10024",10024,District School,18,8:20 AM,Full day,No,No,Lunch / Snack(s),Outdoor (onsite) playspace,,77,,,,,4,100,2015-16 School Year,6.1,4,5.8,3,2.7,2,2017-18 School Year,4,3,5,4,3.8,3,4.8,3,3.2,3,2.8,1,5.5,4,50.1,Dec-16,4
03M145,03M145,"P.S. 145, The Bloomingdale School",150 West 105 Street,"New York, NY 10025",10025,District School,45,8:15 AM,Full day,Contact Program,Contact Program,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,Dual Language (Spanish/Russian),77,98%,96%,93%,95%,25,100,2017-18 School Year,7,4,7,4,4,3,2017-18 School Year,3.4,3,4.8,3,3.6,3,3.5,3,2.5,3,3.1,2,3.7,3,44.6,Nov-16,3
03M149,03M149,P.S. 149 Sojourner Truth,41 West 117 Street,"New York, NY 10026",10026,District School,18,8:20 AM,Full day,Contact Program,Contact Program,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,73,87%,75%,89%,92%,8,100,2017-18 School Year,5.1,3,4.8,2,2.3,2,2015-16 School Year,2.6,1,2.5,1,2.4,1,2.2,1,2.8,3,3,2,3,2,29.5,May-18,3
03M163,03M163,P.S. 163 Alfred E. Smith,163 West 97 Street,"New York, NY 10025",10025,District School,31,8:20 AM,Full day,No,No,Breakfast / Lunch,Indoor/Outdoor (onsite) playspace,,81,100%,94%,96%,83%,7,37,2017-18 School Year,6.9,4,6.9,4,3.2,2,2016-17 School Year,5,4,7,4,5.8,4,4.4,3,3.5,3,5,4,5.5,4,62.2,Oct-17,4
03M165,03M165,P.S. 165 Robert E. Simon,234 West 109 Street,"New York, NY 10025",10025,District School,31,8:00 AM,Full day,Contact Program,Contact Program,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,84,97%,100%,96%,100%,15,75,2017-18 School Year,7,4,6.9,4,3,2,2017-18 School Year,4.9,3,6.3,4,5,4,5.5,4,2.3,3,5,4,5.8,4,60.8,Jan-18,3
03M180,03M180,P.S. 180 Hugo Newman,370 West 120 Street,"New York, NY 10027",10027,District School,83,8:00 AM,Full day,No,Yes,Breakfast / Lunch,Indoor/Outdoor (onsite) playspace,Dual Language (Spanish),65,92%,95%,92%,95%,38,63,2015-16 School Year,6.1,4,5.7,3,1.7,1,2017-18 School Year,4.3,3,5.5,4,6.4,4,4.3,3,3.2,3,2.9,1,4.7,3,52.3,Jan-18,3
03M185,03M185,P.S. 185 - The Early Childhood Discovery and Design Magnet School,20 West 112 Street,"New York, NY 10026",10026,District School,67,8:00 AM,Full day,Contact Program,Contact Program,Breakfast/Lunch/Snack(s),Indoor/Outdoor (onsite) playspace,,83,93%,94%,92%,93%,47,100,2017-18 School Year,7,4,7,4,4.2,3,2015-16 School Year,4.2,3,6.3,4,5.8,4,3.5,3,2.5,3,4,3,5,4,55.3,15-Mar-16,3
03M191,03M191,The Riverside School for Makers and Artists,210 West 61 Street,"New York, NY 10023",10023,District School,72,8:15 AM,Full day,Contact Program,Contact Program,Breakfast/Lunch/Snack(s),Indoor/Outdoor (onsite) playspace,,84,96%,94%,96%,91%,47,82,2015-16 School Year,6.6,4,6.7,4,3,2,2017-18 School Year,4.2,3,4.8,3,3.4,3,4.3,3,3,3,4.8,3,5.3,4,51.8,Jan-17,3
03M242,03M242,P.S. 242 - The Young Diplomats Magnet Academy,134 West 122 Street,"New York, NY 10027",10027,District School,18,8:10 AM,Full day,Yes,Yes,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,79,94%,97%,94%,87%,9,64,2016-17 School Year,6.2,4,5.9,3,3.8,3,2017-18 School Year,3,2,4.3,3,2.4,1,3.2,2,2.5,3,3.1,2,2,1,34.5,May-17,3
03M452,03M452,P.S. 452,210 West 61 Street,"New York, NY 10023",10023,District School,53,8:40 AM,Full day,No,No,Breakfast / Lunch,Indoor/Outdoor (onsite) playspace,,91,99%,97%,96%,98%,29,67,N/A,,,,,,,2017-18 School Year,4.2,3,4.3,3,5.4,4,4.6,3,3,3,3.5,3,5.3,4,53.3,,
04M007,04M007,P.S. 007 Samuel Stern,160 East 120 Street,"New York, NY 10035",10035,District School,20,8:00 AM,Full day,Contact Program,Contact Program,Breakfast/Lunch/Snack(s),Indoor/Outdoor (onsite) playspace,,76,100%,96%,95%,97%,8,53,2017-18 School Year,6.7,4,6.6,4,3.1,2,2016-17 School Year,4.3,3,5.5,4,5.2,4,5.2,4,2.5,3,3.6,3,4.3,3,54.6,31-Mar-16,3
04M037,04M037,River East Elementary,508 East 120 Street,"New York, NY 10035",10035,District School,17,8:00 AM,Full day,Yes,No,Breakfast / Lunch,Outdoor (onsite) playspace,,95,100%,100%,96%,99%,12,92,2015-16 School Year,6.4,4,6.2,4,4.6,3,2017-18 School Year,5.4,4,6,4,6.8,4,5.8,4,4.5,4,4.4,3,5.3,4,65.2,17-Nov-15,4
04M038,04M038,P.S. 38 Roberto Clemente,232 East 103 Street,"New York, NY 10029",10029,District School,26,8:20 AM,Full day,No,No,Breakfast / Lunch,Indoor/Outdoor (offsite) playspace,,79,100%,99%,94%,95%,19,100,2017-18 School Year,6.5,4,6.3,4,3.3,3,2016-17 School Year,4.8,3,5.5,4,6,4,5.6,4,2.7,3,4.3,3,4.5,3,57.4,Feb-17,4
04M057,04M057,James Weldon Johnson,176 East 115 Street,"New York, NY 10029",10029,District School,35,8:00 AM,Full day,Contact Program,Contact Program,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,Dual Language (Spanish),84,100%,92%,98%,98%,14,82,2017-18 School Year,6.4,4,6.1,4,2.2,2,2016-17 School Year,2.7,1,3,2,1.6,1,3.2,2,2,2,2.6,1,3.8,3,30.9,Feb-18,3
